KIN ID,First Name,Last Name,Email
200,Aurora,Sinclair,sample@email.com
201,Kai,Thompson,sample@email.com
202,Evander,Mason,sample@email.com
203,Seraphina,Whitmore,sample@email.com
204,Leif,Branson,sample@email.com
205,Thalia,Rivera,sample@email.com
206,Orion,Huxley,sample@email.com
207,Alaric,Devereaux,sample@email.com
208,Isolde,Kensington,sample@email.com
209,Lysander,Ellison,sample@email.com
210,Cassia,Bloom,sample@email.com
211,Eamon,Fitzgerald,sample@email.com
212,Nyla,Winters,sample@email.com
213,Soren,Voss,sample@email.com
214,Calista,Morgan,sample@email.com
