KIN ID,First Name,Last Name,Email
0,Aurora,Sinclair,sample@email.com
1,Kai,Thompson,sample@email.com
2,Evander,Mason,sample@email.com
3,Seraphina,Whitmore,sample@email.com
4,Leif,Branson,sample@email.com
5,Thalia,Rivera,sample@email.com
6,Orion,Huxley,sample@email.com
7,Alaric,Devereaux,sample@email.com
8,Isolde,Kensington,sample@email.com
9,Lysander,Ellison,sample@email.com
10,Cassia,Bloom,sample@email.com
11,Eamon,Fitzgerald,sample@email.com
12,Nyla,Winters,sample@email.com
13,Soren,Voss,sample@email.com
14,Calista,Morgan,sample@email.com
